,Unnamed: 0,Price,Rooms,Area,Floor,Location,Num_Rooms,Num_Halls,District
3231,3231,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3232,3232,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3233,3233,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3234,3234,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3235,3235,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
3236,3236,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
3237,3237,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3238,3238,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3239,3239,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3240,3240,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3241,3241,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3242,3242,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3243,3243,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3244,3244,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3245,3245,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3246,3246,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3247,3247,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3248,3248,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3249,3249,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3250,3250,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3251,3251,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3252,3252,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3253,3253,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3254,3254,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3255,3255,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3256,3256,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3257,3257,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3258,3258,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3259,3259,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
3260,3260,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
3261,3261,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3262,3262,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3263,3263,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3264,3264,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3265,3265,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3266,3266,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3267,3267,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3268,3268,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3269,3269,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3270,3270,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3271,3271,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3272,3272,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3273,3273,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3274,3274,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3275,3275,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3276,3276,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3277,3277,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3278,3278,30000,2+1,95,Yüksek Giriş,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3279,3279,17500,3+1,120,3. Kat,Sincan - 29 Ekim Mh.,3.0,1.0,Sincan
3280,3280,24000,3+1,120,2. Kat,Çankaya - Aşıkpaşa Mh.,3.0,1.0,Çankaya
3281,3281,17500,3+1,115,3. Kat,Sincan - Mustafa Kemal Mh.,3.0,1.0,Sincan
3282,3282,18500,3+1,100,1. Kat,Çankaya - Fakülteler Mh.,3.0,1.0,Çankaya
3283,3283,36000,4+1,190,4. Kat,Çankaya - Yukarı Öveçler Mh.,4.0,1.0,Çankaya
3284,3284,13500,3+1,115,Giriş Katı,Mamak - Yeşilbayır Mh.,3.0,1.0,Mamak
3285,3285,17000,2+1,85,Bahçe Katı,Çankaya - Ayrancı Mh.,2.0,1.0,Çankaya
3286,3286,27000,3+1,120,3. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3287,3287,24000,3+1,125,1. Kat,Çankaya - Huzur Mh.,3.0,1.0,Çankaya
3288,3288,33000,3+1,135,3. Kat,Çankaya - Dumlupınar Mh.,3.0,1.0,Çankaya
3289,3289,15000,3+1,100,Bahçe Katı,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
3290,3290,44000,3+1,150,19. Kat,Gölbaşı - Hacılar Mh.,3.0,1.0,Gölbaşı
3291,3291,49500,3+1,150,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3292,3292,39000,4+1,200,5. Kat,Keçiören - Ovacık Mh.,4.0,1.0,Keçiören
3293,3293,36000,4+1,140,1. Kat,Çankaya - Emek Mh.,4.0,1.0,Çankaya
3294,3294,35000,3+1,120,2. Kat,Çankaya - Emek Mh.,3.0,1.0,Çankaya
3295,3295,25000,2+1,70,Yüksek Giriş,Çankaya - Yukarı Bahçelievler Mh.,2.0,1.0,Çankaya
3296,3296,40000,2+1,115,3. Kat,Çankaya - Bahçelievler Mh.,2.0,1.0,Çankaya
3297,3297,28000,3+1,120,2. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3298,3298,26000,2+1,75,Kot 1,Çankaya - Emek Mh.,2.0,1.0,Çankaya
3299,3299,26000,1+1,65,Yüksek Giriş,Çankaya - Emek Mh.,1.0,1.0,Çankaya
3300,3300,48000,3+1,133,1. Kat,Çankaya - Bahçelievler Mh.,3.0,1.0,Çankaya
3301,3301,20000,3+1,125,1. Kat,Çankaya - İlkadım Mh.,3.0,1.0,Çankaya
